epoch,train_loss,val_loss,val_accuracy
1,1.617423,0.371396,0.791638
2,0.154043,0.071052,0.968349
3,0.041432,0.032389,0.985263
4,0.019242,0.020011,0.988884
5,0.010578,0.013669,0.991659
6,0.006265,0.011100,0.991515
7,0.004056,0.008655,0.993449
8,0.002769,0.007527,0.993905
9,0.002004,0.006394,0.994393
10,0.001507,0.005819,0.994816
11,0.001169,0.005276,0.995077
12,0.000921,0.005314,0.994765
13,0.000738,0.004834,0.995272
14,0.000595,0.004449,0.995305
15,0.000485,0.004355,0.995500
16,0.000398,0.004258,0.995598
17,0.000330,0.004189,0.995402
18,0.000272,0.004084,0.995826
19,0.000227,0.003909,0.995760
20,0.000189,0.003921,0.995793
21,0.000159,0.003752,0.996053
22,0.000134,0.003896,0.995793
23,0.000112,0.003658,0.996053
24,0.000095,0.003754,0.996021
25,0.000080,0.003725,0.995969
26,0.000067,0.003695,0.995956
27,0.000057,0.003706,0.996151
28,0.000048,0.003747,0.995923
29,0.000041,0.003705,0.996118
30,0.000035,0.003492,0.996021
31,0.000030,0.003494,0.996249
32,0.000025,0.003539,0.996346
33,0.000021,0.003544,0.996314
34,0.000018,0.003614,0.996314
35,0.000016,0.003425,0.996314
36,0.000013,0.003625,0.996314
37,0.000011,0.003490,0.996411
38,0.000010,0.003592,0.996477
39,0.000008,0.003448,0.996509
40,0.000007,0.003378,0.996848
41,0.000006,0.003763,0.996249
42,0.000005,0.003484,0.996607
43,0.000004,0.003525,0.996607
44,0.010929,0.176597,0.819133
45,0.003100,0.003917,0.995774
46,0.000387,0.003971,0.995598
47,0.000371,0.004978,0.994211
48,0.000299,0.004371,0.995416
49,0.000515,0.004068,0.995611
50,0.000164,0.003224,0.996536
51,0.000403,0.005767,0.993905
52,0.000938,0.008492,0.991234
53,0.000676,0.074383,0.942444
54,0.001106,0.008158,0.992310
55,0.000578,0.005338,0.994974
56,0.000480,0.005352,0.994334
57,0.000408,0.003118,0.996580
58,0.000097,0.003003,0.996509
59,0.000694,0.033815,0.968591
60,0.000645,0.005478,0.994119
