epoch,train_loss,val_loss,val_accuracy
1,2.131569,0.379899,0.588217
2,0.212144,0.042325,0.949484
3,0.050136,0.016890,0.980694
4,0.025087,0.009110,0.989009
5,0.016438,0.007717,0.990617
6,0.011564,0.008113,0.991100
7,0.009795,0.006646,0.993086
8,0.007337,0.005877,0.993802
9,0.006393,0.004877,0.994426
10,0.005453,0.005051,0.995123
11,0.005249,0.006588,0.993932
12,0.004625,0.004167,0.995904
13,0.004306,0.004107,0.995741
14,0.004292,0.003769,0.996243
15,0.003783,0.004594,0.996216
16,0.003240,0.003649,0.997285
17,0.003191,0.003829,0.996764
18,0.003162,0.005411,0.995123
19,0.002466,0.002886,0.997220
20,0.002640,0.005367,0.995611
21,0.002571,0.002725,0.997936
22,0.002532,0.002269,0.997643
23,0.002256,0.003686,0.996802
24,0.002322,0.003061,0.997220
25,0.002228,0.002557,0.997792
26,0.002012,0.003109,0.997434
27,0.001818,0.004174,0.997350
28,0.001715,0.002831,0.998047
29,0.001637,0.002256,0.997974
30,0.001793,0.003258,0.997447
31,0.001546,0.001818,0.998535
32,0.001486,0.001488,0.998763
33,0.001315,0.002324,0.998307
34,0.001650,0.002426,0.998307
35,0.001418,0.002386,0.998196
36,0.001351,0.001303,0.998847
37,0.001398,0.001590,0.998815
38,0.000996,0.003727,0.997610
39,0.001181,0.001838,0.998684
40,0.001043,0.001940,0.998619
41,0.001158,0.001982,0.998893
42,0.001076,0.002607,0.998229
43,0.001120,0.003836,0.997564
44,0.000704,0.002800,0.998164
45,0.000845,0.001809,0.998763
46,0.000793,0.003240,0.998196
47,0.000970,0.002870,0.998372
48,0.000950,0.002196,0.998145
49,0.001036,0.002446,0.998568
50,0.000737,0.001923,0.999056
51,0.000707,0.003066,0.998554
52,0.000861,0.002107,0.998554
53,0.000942,0.003263,0.998164
54,0.000652,0.001547,0.999023
55,0.000575,0.001877,0.998880
56,0.000806,0.002224,0.998782
57,0.000689,0.003024,0.998345
58,0.000773,0.002451,0.998489
59,0.000639,0.002506,0.998326
60,0.000698,0.002572,0.999075
